id_carro,modelo_carro,preco,cod_marca
772,SVX,$89142.12,52
773,Sonoma,$85602.70,18
774,Sidekick,$66677.62,53
775,IS-F,$52304.60,30
776,Voyager,$67870.40,42
777,Bonneville,$54027.31,43
778,Silhouette,$53929.63,41
779,Galaxie,$63857.08,17
780,Town Car,$65717.55,31
781,4Runner,$69555.42,54
782,300D,$73700.69,37
783,B-Series,$72836.03,36
784,Canyon,$75615.73,18
785,Passat,$75585.10,55
786,M6,$54568.49,5
787,Fleetwood,$95053.74,9
788,Galant,$71981.27,39
789,Grand Prix,$89171.74,43
790,Bravada,$67544.88,41
791,S90,$93677.85,56
792,Biturbo,$83003.15,34
793,Esprit,$98715.24,32
794,Suburban 2500,$45251.03,10
795,GTI,$59569.30,55
796,Silverado 3500,$84288.37,10
797,Arnage,$50919.68,6
798,Continental GT,$47070.69,6
799,Tracer,$57496.63,38
800,A8,$98846.64,3
801,NV1500,$61200.08,40
802,B-Series Plus,$84284.08,36
803,Edge,$65772.00,17
804,DTS,$61755.61,9
805,Continental,$89221.64,31
806,T100 Xtra,$65884.62,54
807,Esprit,$82541.31,32
808,MX-5,$98605.44,36
809,Dakota Club,$75056.91,14
810,LeMans,$59933.13,43
811,Corolla,$50733.38,54
812,Bonneville,$96343.38,43
813,Corvette,$48603.59,10
814,Range Rover,$53010.66,29
815,ES,$97869.61,30
816,Sierra 2500,$72905.19,18
817,Century,$95504.63,8
818,SC,$93119.36,30
819,XJ Series,$47613.34,25
820,XG350,$81481.29,22
821,Escape,$88050.44,17
822,Escalade,$57520.85,9
823,C-Class,$77168.57,37
824,Accord,$55866.68,20
825,CL-Class,$95756.10,37
826,5 Series,$52899.38,5
827,Escort,$94789.02,17
828,Commander,$50765.85,26
829,Celica,$84724.54,54
830,Ram Wagon B150,$95520.00,14
831,Astro,$91652.36,10
832,RX-7,$75264.65,36
833,XC60,$93076.30,56
834,Sephia,$96908.44,27
835,Econoline E250,$91472.20,17
836,Grand Vitara,$83464.14,53
837,Corvette,$54419.51,10
838,Suburban 2500,$64295.35,18
839,Vandura G2500,$75934.63,18
840,S2000,$91082.21,20
841,9-3,$62247.43,46
842,Venza,$86914.98,54
843,Ram Van 3500,$49042.31,14
844,SRX,$65152.04,9
845,Jimmy,$74765.12,18
846,Venza,$71588.15,54
847,XJ,$46900.40,25
848,300,$77978.00,11
849,Sierra,$70735.16,18
850,S80,$73644.53,56
851,Cooper Countryman,$61571.41,33
852,Integra,$54434.81,1
853,Firebird,$55368.45,43
854,Tacoma,$65527.44,54
855,Optima,$81917.58,27
856,CLK-Class,$86193.93,37
857,Concorde,$53727.89,11
858,GL-Class,$81406.44,37
859,Accent,$69834.37,22
860,Protege,$74026.89,36
861,Quattro,$82215.44,3
862,Yukon XL 2500,$49425.16,18
863,Sierra 1500,$67355.50,18
864,Tempo,$97000.53,17
865,Diablo,$45963.36,28
866,GranTurismo,$76322.71,34
867,E-Class,$70152.20,37
868,F250,$90732.87,17
869,Cayenne,$59328.05,44
870,SC,$85129.60,30
871,Chariot,$82615.39,39
872,SX4,$55716.09,53
873,Pilot,$45178.17,20
874,Grand Am,$95518.97,43
875,A3,$84901.22,3
876,Stratus,$70738.19,14
877,300TE,$78329.85,37
878,Carens,$99938.89,27
879,Continental GT,$89600.67,6
880,DeVille,$74056.40,9
881,Windstar,$81704.79,17
882,1500 Club Coupe,$73878.68,18
883,Explorer,$63366.71,17
884,88,$60913.17,41
885,Z4,$61295.32,5
886,Ram Van B250,$96446.02,14
887,Crossfire,$58443.62,11
888,Tribute,$70641.16,36
889,V8,$80135.02,3
890,V70,$51766.41,56
891,240SX,$74588.41,40
892,Odyssey,$91921.33,20
893,F250,$46527.13,17
894,Maxima,$97398.58,40
895,VUE,$80054.14,47
896,Matrix,$79784.48,54
897,XLR,$81449.04,9
898,G,$79570.83,23
899,GTI,$65221.01,55
900,Cirrus,$81784.17,11
901,Trooper,$45325.59,24
902,Cutlass Supreme,$66820.29,41
903,RX,$73487.77,30
904,Grand Prix,$52267.52,43
905,DB9 Volante,$97429.12,2
906,Navigator L,$84451.74,31
907,Tucson,$74664.92,22
908,Cayenne,$71256.35,44
909,Durango,$78597.25,14
910,Odyssey,$58709.95,20
911,Ram 2500,$97512.68,14
912,500SL,$48896.31,37
913,A6,$55025.17,3
914,Avalon,$50568.58,54
915,Torrent,$80358.21,43
916,Q,$94085.78,23
917,350Z,$71834.20,40
918,Mazda6,$52687.96,36
919,Edge,$95747.08,17
920,PT Cruiser,$81050.43,11
921,Sprinter,$49388.58,14
922,Tribute,$93360.50,36
923,Avalanche,$81018.07,10
924,S10 Blazer,$61391.36,10
925,T100,$53084.05,54
926,V8,$54657.02,3
927,Corvette,$58996.53,10
928,GT,$46771.91,17
